ISO3,ParentLocation,Country,MD_per_10K,N_mper_10K,total_HRH,SBA.coverage,UHC_idex,GNI_2020,conflict_frag,HSP,,,,,,,
TUV,Western Pacific,Tuvalu,11.86,34.75,46.61,99.5,52,6420,fragile,fragile,,,,,,,
TZA,Africa,United Republic of Tanzania,0.51,5.67,6.18,63.5,46,2780,neither,HS2 ,,,,,,,
UGA,Africa,Uganda,1.54,16.37,17.91,74.2,50,2260,neither,HS1   ,,,,,,,
UKR,Europe,Ukraine,29.92,66.61,96.53,99.9,73,13370,conflict,conflict,,,,,,,
URY,Americas,Uruguay,39.51,58.66,98.17,100,79,21500,neither, HS3,,,,,,,
USA,Americas,United States of America,26.1,156.9,183,99,83,64210,neither, HS3,,,,,,,
UZB,Europe,Uzbekistan,23.74,112.8,136.54,100,71,7720,neither, HS3,,,,,,,
VCT,Americas,Saint Vincent and the Grenadines,6.65,26.04,32.69,98.6,73,13330,neither, HS3,,,,,,,
VEN,Americas,Venezuela (Bolivarian Republic of),17.3,20.1,37.4,98.7,70,NA,fragile,fragile,,,,,,,
VNM,Western Pacific,Viet Nam,8.28,14.46,22.74,96.1,70,10410,neither, HS3,,,,,,,
VUT,Western Pacific,Vanuatu,1.84,18.4,20.24,89.4,52,3340,neither,HS2 ,,,,,,,
WSM,Western Pacific,Samoa,6,32.66,38.66,88.9,53,6510,neither,  HS2 ,,,,,,,
YEM,Eastern Mediterranean,Yemen,5.25,8.79,14.04,44.7,44,NA,conflict,conflict,,,,,,,
ZAF,Africa,South Africa,7.53,49.74,57.27,96.7,67,13140,neither, HS3,,,,,,,
ZMB,Africa,Zambia,1.17,10.23,11.4,80.4,55,3360,neither,HS2 ,,,,,,,
ZWE,Africa,Zimbabwe,1.99,21.39,23.38,86,55,3420,fragile,fragile,,,,,,,
