"iso3","Mortality.reduction","Outcome","Risk","NCD4","self_harm","NCD.cause.grouping"
"VEN",0.0486792452830189,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"VNM",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"VIR",NA,NA,NA,NA,NA,NA
"YEM",0.0345283018867925,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ZMB",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ZWE",0.00905660377358493,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"AFG",0.0254716981132076,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ALB",0.078679245283019,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"DZA",0.0554716981132076,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ASM",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"AND",0.059433962264151,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"AGO",0.00962264150943398,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ATG",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ARG",0.0213396226415095,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"ARM",0.0667924528301888,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"AUS",0.019811320754717,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"AUT",0.0456854150943397,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"AZE",0.0697358490566039,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BHR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BGD",0.0858618849056605,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BRB",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BLR",0.0219056603773585,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BEL",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BLZ",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BEN",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BMU",NA,"Ischemic heart disease",NA,NA,NA,"Ischaemic heart disease"
"BTN",0.0908154551886794,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BOL",0.0322641509433963,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BIH",0.0634686792452831,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BWA",0.0277358490566038,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BRA",0.0212830188679246,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BRN",0.118518755660378,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BGR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BFA",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"BDI",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"KHM",0.0718867924528303,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CMR",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CAN",0.0392122641509435,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CPV",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CAF",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"TCD",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CHL",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CHN",0.0393624169811321,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"COL",0.0529904433962265,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"COM",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"COG",0.0067924528301887,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CRI",0.0217924528301887,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CIV",0.0430188679245284,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"HRV",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
"CUB",0,"Ischemic heart disease","Salt","yes","no","Ischaemic heart disease"
