,iso3,country,region,salt policy,salt policy: product reform,salt policy: reg salt content,salt policy: public awareness pgm,salt policy: FOPL,salt policy: enforcement,prog7a,AreaName,NAintake,reformRRR,envRRR,foplRRR,mediaRRR,reduced,target,reduxadj,mort.redux,coverage,target.coverage
120,NPL,Nepal,SEAR,no,no,no,no,no,voluntary,not achieved,Nepal,4.61,0.15,0.07,0.1,0.05,1.7057,2.9043,1.61,0.09113244,0,1
121,NLD,Netherlands,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Netherlands,3.56,0.15,0.07,0.1,0.05,1.3172,2.2428,0.56,0.03169824,1,1
122,NZL,New Zealand,WPR,don't know,no,no,no,no,voluntary,don't know,New Zealand,4.61,0.15,0.07,0.1,0.05,1.7057,2.9043,1.61,0.09113244,0,1
123,NIC,Nicaragua,AMR,no,no,no,no,no,voluntary,not achieved,Nicaragua,3.58,0.15,0.07,0.1,0.05,1.3246,2.2554,0.58,0.03283032,0,1
124,NER,Niger,AFR,no,no,no,no,no,voluntary,not achieved,Niger,2.65,0.15,0.07,0.1,0.05,0.9805,1.6695,0,0,0,0
125,NGA,Nigeria,AFR,no,no,no,no,no,voluntary,not achieved,Nigeria,2.56,0.15,0.07,0.1,0.05,0.9472,1.6128,0,0,0,0
126,PRK,Democratic People’s Republic of Korea,SEAR,no,no,no,no,no,voluntary,not achieved,Korea DPR,4.53,0.15,0.07,0.1,0.05,1.6761,2.8539,1.53,0.08660412,0,1
127,MNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.07,0.1,0.05,NA,NA,NA,NA,0,1
128,NOR,Norway,EUR,yes,yes,no,yes,yes,voluntary,fully achieved,Norway,4.36,0.15,0.07,0.1,0.05,1.6132,2.7468,1.36,0.07698144,0.75,1
129,OMN,Oman,EMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Oman,4.34,0.15,0.07,0.1,0.05,1.6058,2.7342,1.34,0.07584936,1,1
130,PAK,Pakistan,EMR,no,no,no,no,no,voluntary,not achieved,Pakistan,4.8,0.15,0.07,0.1,0.05,1.776,3.024,1.776,0.100528704,0,1
131,PSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.07,0.1,0.05,NA,NA,NA,NA,0,1
132,PAN,Panama,AMR,no,no,no,no,no,voluntary,not achieved,Panama,3.95,0.15,0.07,0.1,0.05,1.4615,2.4885,0.95,0.0537738,0,1
133,PNG,Papua New Guinea,WPR,no,no,no,no,no,voluntary,not achieved,Papua New Guinea,3.3,0.15,0.07,0.1,0.05,1.221,2.079,0.3,0.0169812,0,1
134,PRY,Paraguay,AMR,yes,no,yes,yes,no,voluntary,partially achieved,Paraguay,3.63,0.15,0.07,0.1,0.05,1.3431,2.2869,0.63,0.03566052,0.5,1
135,PER,Peru,AMR,yes,no,no,no,yes,mandatory,partially achieved,Peru,3.7,0.15,0.07,0.1,0.05,1.369,2.331,0.7,0.0396228,0.25,1
136,PHL,Philippines,WPR,no,no,no,no,no,voluntary,not achieved,Philippines,4.46,0.15,0.07,0.1,0.05,1.6502,2.8098,1.46,0.08264184,0,1
137,POL,Poland,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Poland,4.44,0.15,0.07,0.1,0.05,1.6428,2.7972,1.44,0.08150976,1,1
138,PRT,Portugal,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Portugal,4.03,0.15,0.07,0.1,0.05,1.4911,2.5389,1.03,0.05830212,0.75,1
139,PRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.07,0.1,0.05,NA,NA,NA,NA,0,1
140,QAT,Qatar,EMR,yes,yes,yes,yes,no,mandatory,partially achieved,Qatar,4.74,0.15,0.07,0.1,0.05,1.7538,2.9862,1.74,0.09849096,0.75,1
141,ROU,Romania,EUR,no,no,no,no,no,voluntary,not achieved,Romania,4.58,0.15,0.07,0.1,0.05,1.6946,2.8854,1.58,0.08943432,0,1
142,RUS,Russian Federation,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Russian Federation,3.88,0.15,0.07,0.1,0.05,1.4356,2.4444,0.88,0.04981152,0.75,1
143,RWA,Rwanda,AFR,no,no,no,no,no,voluntary,not achieved,Rwanda,2.73,0.15,0.07,0.1,0.05,1.0101,1.7199,0,0,0,0
144,LCA,Saint Lucia,AMR,no,no,no,no,no,voluntary,not achieved,Saint Lucia,2.71,0.15,0.07,0.1,0.05,1.0027,1.7073,0,0,0,0
145,VCT,Saint Vincent and the Grenadines,AMR,yes,no,yes,yes,no,voluntary,partially achieved,St Vincent and the Grenadines,2.7,0.15,0.07,0.1,0.05,0.999,1.701,0,0,0.5,0
146,WSM,Samoa,WPR,yes,no,no,yes,no,voluntary,partially achieved,Samoa,2.18,0.15,0.07,0.1,0.05,0.8066,1.3734,0,0,0.25,0
147,STP,Sao Tome and Principe,AFR,no,no,no,no,no,voluntary,not achieved,Sao Tome and Principe,2.85,0.15,0.07,0.1,0.05,1.0545,1.7955,0,0,0,0
148,SAU,Saudi Arabia,EMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Saudi Arabia,4.37,0.15,0.07,0.1,0.05,1.6169,2.7531,1.37,0.07754748,1,1
149,SEN,Senegal,AFR,no,no,no,no,no,voluntary,not achieved,Senegal,2.8,0.15,0.07,0.1,0.05,1.036,1.764,0,0,0,0
150,SRB,Serbia,EUR,no,no,no,no,no,voluntary,not achieved,Serbia,4.46,0.15,0.07,0.1,0.05,1.6502,2.8098,1.46,0.08264184,0,1
151,SYC,Seychelles,AFR,no,no,no,no,no,voluntary,not achieved,Seychelles,3.84,0.15,0.07,0.1,0.05,1.4208,2.4192,0.84,0.04754736,0,1
152,SLE,Sierra Leone,AFR,no,no,no,no,no,voluntary,not achieved,Sierra Leone,2.73,0.15,0.07,0.1,0.05,1.0101,1.7199,0,0,0,0
153,SGP,Singapore,WPR,yes,yes,no,yes,yes,voluntary,fully achieved,Singapore,6.47,0.15,0.07,0.1,0.05,2.3939,4.0761,2.3939,0.135504316,0.75,1
154,SVK,Slovakia,EUR,yes,yes,yes,no,no,mandatory,partially achieved,Slovakia,4.67,0.15,0.07,0.1,0.05,1.7279,2.9421,1.67,0.09452868,0.5,1
155,SVN,Slovenia,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Slovenia,4.73,0.15,0.07,0.1,0.05,1.7501,2.9799,1.73,0.09792492,0.75,1
156,SLB,Solomon Islands,WPR,no,no,no,no,no,voluntary,not achieved,Solomon Islands,3.22,0.15,0.07,0.1,0.05,1.1914,2.0286,0.22,0.01245288,0,1
