Super_region,Region,location_gbd,gbd2019,location_wb,location_who,location_ncdrisc,NCD_region,SDI,World_bank_2015,iso3,LocID,wb2021
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,East and South East Asia,Middle SDI,LMIC,IDN,360,LMIC
North Africa and Middle East,North Africa and Middle East,Iran,Iran (Islamic Republic of),"Iran, Islamic Rep.",Iran (Islamic Republic of),Iran,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,IRN,364,LMIC
North Africa and Middle East,North Africa and Middle East,Iraq,Iraq,Iraq,Iraq,Iraq,"Central Asia, Middle East and North Africa",Low-middle SDI,UMIC,IRQ,368,UMIC
High-income,Western Europe,Ireland,Ireland,Ireland,Ireland,Ireland,High-income Western countries,High SDI,HIC,IRL,372,HIC
High-income,Western Europe,Israel,Israel,Israel,Israel,Israel,High-income Western countries,High-middle SDI,HIC,ISR,376,HIC
High-income,Western Europe,Italy,Italy,Italy,Italy,Italy,High-income Western countries,High SDI,HIC,ITA,380,HIC
Latin America and Caribbean,Caribbean,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Latin America and Caribbean,Middle SDI,UMIC,JAM,388,UMIC
High-income,High-income Asia Pacific,Japan,Japan,Japan,Japan,Japan,High-income Asia Pacific,High SDI,HIC,JPN,392,HIC
North Africa and Middle East,North Africa and Middle East,Jordan,Jordan,Jordan,Jordan,Jordan,"Central Asia, Middle East and North Africa",Middle SDI,UMIC,JOR,400,UMIC
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,KAZ,398,UMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Kenya,Kenya,Kenya,Kenya,Kenya,Sub-Saharan Africa,Low-middle SDI,LMIC,KEN,404,LMIC
"Southeast Asia, East Asia, and Oceania",Oceania,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,NA,Low SDI,LMIC,KIR,296,LMIC
North Africa and Middle East,North Africa and Middle East,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,KWT,414,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kyrgyzstan,Kyrgyzstan,Kyrgyz Republic,Kyrgyzstan,Kyrgyzstan,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,KGZ,417,LMIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Laos,Lao People's Democratic Republic,Lao PDR,Lao People's Democratic Republic,Lao PDR,East and South East Asia,Low-middle SDI,LMIC,LAO,418,LMIC
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Latvia,Latvia,Latvia,Latvia,Latvia,Central and Eastern Europe,High SDI,HIC,LVA,428,HIC
North Africa and Middle East,North Africa and Middle East,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,LBN,422,UMIC
Sub-Saharan Africa,Southern Sub-Saharan Africa,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Sub-Saharan Africa,Low-middle SDI,LMIC,LSO,426,LMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Liberia,Liberia,Liberia,Liberia,Liberia,Sub-Saharan Africa,Low SDI,LIC,LBR,430,LIC
North Africa and Middle East,North Africa and Middle East,Libya,Libya,Libya,Libya,Libya,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,LBY,434,UMIC
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Central and Eastern Europe,High SDI,HIC,LTU,440,HIC
High-income,Western Europe,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,High-income Western countries,High SDI,HIC,LUX,442,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Macedonia,North Macedonia,North Macedonia,North Macedonia,Macedonia (TFYR),Central and Eastern Europe,High-middle SDI,LMIC,MKD,807,UMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Sub-Saharan Africa,Low SDI,LIC,MDG,450,LIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Malawi,Malawi,Malawi,Malawi,Malawi,Sub-Saharan Africa,Low SDI,LIC,MWI,454,LIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,East and South East Asia,High-middle SDI,UMIC,MYS,458,UMIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Maldives,Maldives,Maldives,Maldives,Maldives,East and South East Asia,Middle SDI,UMIC,MDV,462,UMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Mali,Mali,Mali,Mali,Mali,Sub-Saharan Africa,Low SDI,LIC,MLI,466,LIC
High-income,Western Europe,Malta,Malta,Malta,Malta,Malta,High-income Western countries,High SDI,HIC,MLT,470,HIC
"Southeast Asia, East Asia, and Oceania",Oceania,Marshall Islands,Marshall Islands,Marshall Islands,NA,Marshall Islands,NA,Low-middle SDI,UMIC,MHL,584,UMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Sub-Saharan Africa,Low-middle SDI,LMIC,MRT,478,LMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Sub-Saharan Africa,High-middle SDI,UMIC,MUS,480,UMIC
Latin America and Caribbean,Central Latin America,Mexico,Mexico,Mexico,Mexico,Mexico,Latin America and Caribbean,Middle SDI,UMIC,MEX,484,UMIC
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Moldova,Republic of Moldova,Moldova,Republic of Moldova,Moldova,Central and Eastern Europe,Middle SDI,HIC,MDA,498,UMIC
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,MNG,496,LMIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Montenegro,Montenegro,Montenegro,Montenegro,Montenegro,Central and Eastern Europe,High-middle SDI,UMIC,MNE,499,UMIC
North Africa and Middle East,North Africa and Middle East,Morocco,Morocco,Morocco,Morocco,Morocco,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,MAR,504,LMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Sub-Saharan Africa,Low SDI,LIC,MOZ,508,LIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,East and South East Asia,Low-middle SDI,LMIC,MMR,104,LMIC
Sub-Saharan Africa,Southern Sub-Saharan Africa,Namibia,Namibia,Namibia,Namibia,Namibia,Sub-Saharan Africa,Low-middle SDI,UMIC,NAM,516,UMIC
South Asia,South Asia,Nepal,Nepal,Nepal,Nepal,Nepal,South Asia,Low-middle SDI,LIC,NPL,524,LMIC
High-income,Western Europe,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,High-income Western countries,High SDI,HIC,NLD,528,HIC
