"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2028,37228.0138890842,7612.52852712424,29615.48536196
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2029,43672.8566773923,7871.93970222487,35800.9169751674
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2030,50508.5435066324,8134.54225465813,42374.0012519743
"Tobacco tax",5.1,"Tajikistan",2020,0,0,0
"Tobacco tax",5.1,"Tajikistan",2021,0,0,0
"Tobacco tax",5.1,"Tajikistan",2022,0,0,0
"Tobacco tax",5.1,"Tajikistan",2023,535.641596378098,0,535.641596378098
"Tobacco tax",5.1,"Tajikistan",2024,1092.93827594417,0,1092.93827594417
"Tobacco tax",5.1,"Tajikistan",2025,1671.38954463312,0,1671.38954463312
"Tobacco tax",5.1,"Tajikistan",2026,2270.22339212553,0,2270.22339212553
"Tobacco tax",5.1,"Tajikistan",2027,2888.91184441288,0,2888.91184441288
"Tobacco tax",5.1,"Tajikistan",2028,3527.51627991344,0,3527.51627991344
"Tobacco tax",5.1,"Tajikistan",2029,4186.86647479656,0,4186.86647479656
"Tobacco tax",5.1,"Tajikistan",2030,4868.17014446698,0,4868.17014446698
"Alcohol tax",5.2,"Tajikistan",2020,2008.31620064598,2008.31620064598,0
"Alcohol tax",5.2,"Tajikistan",2021,2053.75541077285,2053.75541077285,0
"Alcohol tax",5.2,"Tajikistan",2022,2098.52770214704,2098.52770214704,0
"Alcohol tax",5.2,"Tajikistan",2023,2410.38718370144,2142.56638551239,267.820798189049
"Alcohol tax",5.2,"Tajikistan",2024,2732.32998251812,2185.86351361276,546.466468905355
"Alcohol tax",5.2,"Tajikistan",2025,3064.15247458528,2228.47310383396,835.679370751312
"Alcohol tax",5.2,"Tajikistan",2026,3405.17698608607,2270.11510010539,1135.06188598068
"Alcohol tax",5.2,"Tajikistan",2027,3755.25928236253,2310.92390686074,1444.33537550179
"Alcohol tax",5.2,"Tajikistan",2028,4114.84610179341,2351.33321644017,1763.51288535324
"Alcohol tax",5.2,"Tajikistan",2029,4484.95409733272,2391.96501626651,2092.98908106621
"Alcohol tax",5.2,"Tajikistan",2030,4866.66260538312,2433.31713138277,2433.34547400035
"Tobacco policy",5.3,"Tajikistan",2020,3866.00869397554,3866.00869397554,0
"Tobacco policy",5.3,"Tajikistan",2021,3953.4791736447,3953.4791736447,0
"Tobacco policy",5.3,"Tajikistan",2022,4039.66583471238,4039.66583471238,0
"Tobacco policy",5.3,"Tajikistan",2023,6702.21548189873,4124.44030036024,2577.77518153849
"Tobacco policy",5.3,"Tajikistan",2024,9467.53264934391,4207.78727212015,5259.74537722377
"Tobacco policy",5.3,"Tajikistan",2025,12333.257093158,4289.81073346001,8043.44635969795
"Tobacco policy",5.3,"Tajikistan",2026,15295.0464257523,4369.97157644282,10925.0748493095
"Tobacco policy",5.3,"Tajikistan",2027,18350.5065205261,4448.528529604,13901.9779909221
"Tobacco policy",5.3,"Tajikistan",2028,21500.6322422036,4526.31645069998,16974.3157915036
"Tobacco policy",5.3,"Tajikistan",2029,24750.4584929317,4604.5326655221,20145.9258274096
"Tobacco policy",5.3,"Tajikistan",2030,28106.5830963632,4684.13548728011,23422.4476090831
"Alcohol policy",5.4,"Tajikistan",2020,2811.64268090438,2811.64268090438,0
"Alcohol policy",5.4,"Tajikistan",2021,2875.25757508199,2875.25757508199,0
"Alcohol policy",5.4,"Tajikistan",2022,2937.93878300585,2937.93878300585,0
"Alcohol policy",5.4,"Tajikistan",2023,3374.54205718202,2999.59293971735,374.949117464669
"Alcohol policy",5.4,"Tajikistan",2024,3825.26298268127,3060.20891905787,765.054063623406
"Alcohol policy",5.4,"Tajikistan",2025,4289.81680617393,3119.86234536755,1169.95446080638
"Alcohol policy",5.4,"Tajikistan",2026,4767.25519454362,3178.16114014754,1589.09405439607
"Alcohol policy",5.4,"Tajikistan",2027,5257.37657894852,3235.29346960504,2022.08310934347
"Alcohol policy",5.4,"Tajikistan",2028,5760.80678437116,3291.86650301625,2468.94028135491
"Alcohol policy",5.4,"Tajikistan",2029,6278.96954506498,3348.75102277311,2930.21852229187
"Alcohol policy",5.4,"Tajikistan",2030,6813.37638029522,3406.64398393588,3406.73239635934
"Salt policy",5.5,"Tajikistan",2020,0,0,0
"Salt policy",5.5,"Tajikistan",2021,0,0,0
"Salt policy",5.5,"Tajikistan",2022,0,0,0
"Salt policy",5.5,"Tajikistan",2023,40695.2709056274,0,40695.2709056274
"Salt policy",5.5,"Tajikistan",2024,83035.7648092272,0,83035.7648092272
"Salt policy",5.5,"Tajikistan",2025,126982.988556241,0,126982.988556241
"Salt policy",5.5,"Tajikistan",2026,172477.268286599,0,172477.268286599
"Salt policy",5.5,"Tajikistan",2027,219476.953680267,0,219476.953680267
"Salt policy",5.5,"Tajikistan",2028,267984.713868301,0,267984.713868301
"Salt policy",5.5,"Tajikistan",2029,318061.18731589,0,318061.18731589
"Salt policy",5.5,"Tajikistan",2030,369795.37362559,0,369795.37362559
"Trans fat policy",5.6,"Tajikistan",2020,76457.692227994,76457.692227994,0
"Trans fat policy",5.6,"Tajikistan",2021,78187.5877204696,78187.5877204696,0
"Trans fat policy",5.6,"Tajikistan",2022,79892.0932525808,79892.0932525808,0
"Trans fat policy",5.6,"Tajikistan",2023,91764.7536690027,81568.6699280024,10196.0837410003
"Trans fat policy",5.6,"Tajikistan",2024,104021.49584501,83217.0151903616,20804.4806546488
"Trans fat policy",5.6,"Tajikistan",2025,116654.617190662,84839.1855109744,31815.4316796873
"Trans fat policy",5.6,"Tajikistan",2026,129638.405179957,86424.5190026106,43213.8861773462
"Trans fat policy",5.6,"Tajikistan",2027,142967.425182646,87978.1325153081,54989.2926673382
"Trans fat policy",5.6,"Tajikistan",2028,156658.744754824,89516.5369528046,67142.2078020199
"Trans fat policy",5.6,"Tajikistan",2029,170751.125295091,91063.4117152508,79687.7135798403
"Trans fat policy",5.6,"Tajikistan",2030,185285.709308025,92637.7092733339,92648.0000346908
