measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Qatar,Both,Age-standardized,Kidney cancer,Rate,2019,4.065776468638828,5.58336842205497,2.842018160817491
Deaths,Qatar,Both,Age-standardized,Bladder cancer,Rate,2019,5.7387390388459245,7.450142946650915,4.293129237973206
Deaths,Sao Tome and Principe,Both,Age-standardized,Kidney cancer,Rate,2019,1.0745153156584877,1.5923107324986276,0.7288337415288825
Deaths,Sao Tome and Principe,Both,Age-standardized,Bladder cancer,Rate,2019,5.188845154668474,6.664128838836097,4.066823007400701
Deaths,United States of America,Both,Age-standardized,Esophageal cancer,Rate,2019,3.860952595769139,4.019222130597767,3.688980252348215
Deaths,United States of America,Both,Age-standardized,Stomach cancer,Rate,2019,3.4033631041400425,3.5431778917439956,3.1932954840381838
Deaths,United States of America,Both,Age-standardized,Liver cancer,Rate,2019,4.32966171684402,4.745648416784988,3.8558793845353914
Deaths,Maldives,Both,Age-standardized,Pancreatic cancer,Rate,2019,4.494385935386887,5.38401216333643,3.6877152743400066
Deaths,Maldives,Both,Age-standardized,Kidney cancer,Rate,2019,1.088179105414801,1.307059799548659,0.8746969817468399
Deaths,Maldives,Both,Age-standardized,Bladder cancer,Rate,2019,2.092696933447205,2.555406871477321,1.6749254634114858
Deaths,Tajikistan,Both,Age-standardized,Esophageal cancer,Rate,2019,7.718274017840502,16.634475997109085,5.691894189982193
Deaths,Tajikistan,Both,Age-standardized,Stomach cancer,Rate,2019,25.256708190142362,30.43974485028247,20.768993774043626
Deaths,Tajikistan,Both,Age-standardized,Liver cancer,Rate,2019,4.017008408956657,5.06041394583849,3.232927268618374
Deaths,Tajikistan,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,12.567896043844016,15.512978849506128,10.271761670065809
Deaths,Tajikistan,Both,Age-standardized,Breast cancer,Rate,2019,8.024841591872569,10.089207111840812,6.375297588957419
Deaths,Tajikistan,Both,Age-standardized,Cervical cancer,Rate,2019,2.4554912186953612,3.5701604498314934,1.8811978370769102
Deaths,Tajikistan,Both,Age-standardized,Prostate cancer,Rate,2019,4.545907742883305,6.5971074755097305,2.91443602396526
Deaths,Tajikistan,Both,Age-standardized,Colon and rectum cancer,Rate,2019,10.221420795468159,12.347195935316863,8.41351809960172
Deaths,Tajikistan,Both,Age-standardized,Lip and oral cavity cancer,Rate,2019,1.03693705216147,1.2688452735635483,0.8517278135990163
Deaths,Kiribati,Both,Age-standardized,Esophageal cancer,Rate,2019,8.22749717010835,10.556320306706926,3.5487984027191497
Deaths,Kiribati,Both,Age-standardized,Stomach cancer,Rate,2019,16.604010161915088,20.332356757953054,13.276925995768716
Deaths,Kiribati,Both,Age-standardized,Liver cancer,Rate,2019,11.946243323431442,15.081317146272209,9.294293162467564
