"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"129","Macedonia","LMIC","Central and Eastern Europe","MKD","Central and Eastern Europe","LMIC","Adjusted",139428810.065036,148298328.094105,157529774.982697,167463305.601654,177564009.828492,187849200.282966,198323951.845,208983360.195064,1385440740.89501
"130","Macedonia","LMIC","Central and Eastern Europe","MKD","Central and Eastern Europe","LMIC","Baseline",132479025.720635,134134928.287416,135785608.18189,137606120.614985,139276522.122945,140839091.294711,142328190.027851,143772915.125797,1106222401.37623
"131","Madagascar","LIC","Sub-Saharan Africa","MDG","Sub-Saharan Africa","LIC","Adjusted",38447828.6163255,45184515.5928361,52379093.1969541,60142708.5709579,68411120.1755413,77203264.9825271,86539108.8448731,96440142.7897028,524747782.769718
"132","Madagascar","LIC","Sub-Saharan Africa","MDG","Sub-Saharan Africa","LIC","Baseline",33238931.2920871,34391719.0243233,35581995.4546839,36833882.3781677,38117474.1751074,39434661.2509011,40788022.5242652,42180583.6055286,300567269.705065
"133","Malawi","LIC","Sub-Saharan Africa","MWI","Sub-Saharan Africa","LIC","Adjusted",29655237.887788,30729762.8737886,31858018.2589434,33069187.7365669,34344306.552296,35678577.7156166,37064298.55883,38500742.8617239,270900132.445553
"134","Malawi","LIC","Sub-Saharan Africa","MWI","Sub-Saharan Africa","LIC","Baseline",29645639.184106,30719894.0451269,31847870.7728564,33058752.7477203,34333575.9453115,35667543.9616632,37052955.0722249,38489083.7717227,270815315.500732
"135","Malaysia","UMIC","East and South East Asia","MYS","East and South East Asia","UMIC","Adjusted",2214143819.18725,2402931783.05417,2601949984.48481,2813214454.34063,3034137230.02824,3265378188.13706,3507726378.79511,3761831379.54701,23601313217.5743
"136","Malaysia","UMIC","East and South East Asia","MYS","East and South East Asia","UMIC","Baseline",2101571328.13795,2170312345.2682,2240542372.31511,2313097509.18472,2386120758.08987,2459984311.97491,2535105500.08974,2611745007.28193,18818479132.3424
"137","Maldives","UMIC","East and South East Asia","MDV","East and South East Asia","UMIC","Adjusted",11759065.9432733,12076759.6569265,12429122.7808574,12806333.8460021,13238128.420198,13728845.587138,14269290.9773797,14857155.9631688,105164703.174944
"138","Maldives","UMIC","East and South East Asia","MDV","East and South East Asia","UMIC","Baseline",11756144.0667194,12073874.4890929,12426265.9098273,12803493.1856082,13235294.5614502,13726009.9810228,14266447.8422875,14854301.4495002,105141831.485509
"139","Mali","LIC","Sub-Saharan Africa","MLI","Sub-Saharan Africa","LIC","Adjusted",44078967.3078316,49587412.8348758,55454512.5330233,61848923.7511261,68634416.5563378,75825847.3935647,83439426.2354647,91492187.5619286,530361694.174153
"140","Mali","LIC","Sub-Saharan Africa","MLI","Sub-Saharan Africa","LIC","Baseline",40145248.1109963,41446032.5110278,42792660.2149321,44263719.850236,45785531.3484537,47363461.529885,49005078.9182467,50718663.6959542,361520396.179732
"141","Mauritania","LMIC","Sub-Saharan Africa","MRT","Sub-Saharan Africa","LMIC","Adjusted",21067047.3340093,23585850.9574888,26264259.7296481,29156031.6239956,32213317.7436051,35444601.2265998,38857666.051715,42460636.1219487,249049410.78901
"142","Mauritania","LMIC","Sub-Saharan Africa","MRT","Sub-Saharan Africa","LMIC","Baseline",19318339.9231935,19966919.1711453,20634480.7117002,21349724.0610864,22078616.3185706,22823724.46614,23587077.2182838,24371037.2428188,174129919.112939
"143","Mauritius","UMIC","Sub-Saharan Africa","MUS","Sub-Saharan Africa","UMIC","Adjusted",209001305.792738,221534738.897907,234400131.027225,247507305.982368,260678469.91609,273854582.897314,286959115.892941,299921013.267553,2033856663.67414
"144","Mauritius","UMIC","Sub-Saharan Africa","MUS","Sub-Saharan Africa","UMIC","Baseline",200686059.010223,204507639.119869,208180812.322996,211562686.262842,214642968.398655,217407799.625548,219834075.085391,221906592.260806,1698728632.08634
"145","Mexico","UMIC","Latin America and Caribbean","MEX","Latin America and Caribbean","UMIC","Adjusted",9930139026.45807,10658227929.2921,11428607327.3732,12238357397.0853,13077458854.6669,13946316995.9113,14844904716.3471,15773651570.8502,101897663817.984
"146","Mexico","UMIC","Latin America and Caribbean","MEX","Latin America and Caribbean","UMIC","Baseline",9468983955.33908,9702469477.00704,9939787071.82506,10174850390.5497,10409622610.6307,10644384092.1221,10879113604.2422,11114126096.072,82333337297.7879
"147","Mongolia","LMIC","Central Asia, Middle East and North Africa","MNG","Central Asia, Middle East and North Africa","LMIC","Adjusted",53292382.4944799,55306829.0657634,57381321.810252,59622232.7922039,61855550.6341144,64104415.8287474,66384893.4370463,68710161.0757838,486657787.138391
"148","Mongolia","LMIC","Central Asia, Middle East and North Africa","MNG","Central Asia, Middle East and North Africa","LMIC","Baseline",52942398.5304664,54596447.1244897,56289761.8587169,58127404.9678804,59944855.2310417,61765960.4203567,63607072.0425173,65481438.0324417,472755338.207911
"149","Montenegro","UMIC","Central and Eastern Europe","MNE","Central and Eastern Europe","UMIC","Adjusted",60932672.5474066,64247669.7983799,67649349.0135155,71402503.8359286,75180850.251586,78995169.3046701,82864017.3550046,86796251.4426823,588068483.549173
"150","Montenegro","UMIC","Central and Eastern Europe","MNE","Central and Eastern Europe","UMIC","Baseline",58235747.9586522,58777045.7301597,59291907.8627581,59974203.4451706,60580241.5400287,61129860.9076829,61646838.218476,62145757.8391884,481781603.502117
"151","Morocco","LMIC","Central Asia, Middle East and North Africa","MAR","Central Asia, Middle East and North Africa","LMIC","Adjusted",709873114.357995,731040486.647941,753174579.580107,775520547.802517,798386614.583934,821835133.884009,845763349.922673,870196717.890965,6305790544.67014
"152","Morocco","LMIC","Central Asia, Middle East and North Africa","MAR","Central Asia, Middle East and North Africa","LMIC","Baseline",709782078.25797,730948440.235199,753081521.804126,775426478.130324,798291544.945916,821739077.295261,845666321.961884,870098734.86328,6305034197.49395
"153","Mozambique","LIC","Sub-Saharan Africa","MOZ","Sub-Saharan Africa","LIC","Adjusted",31383592.0615017,32406001.7851179,33474456.2516716,34656452.5258331,35882823.1467065,37155274.4169147,38475886.6473119,39847757.3894542,283282244.224512
"154","Mozambique","LIC","Sub-Saharan Africa","MOZ","Sub-Saharan Africa","LIC","Baseline",31371079.1155858,32393111.9137696,33461177.6509008,34642773.230416,35868732.681527,37140762.4277093,38460942.9023174,39832371.6956442,283170951.61787
"155","Myanmar","LMIC","East and South East Asia","MMR","East and South East Asia","LMIC","Adjusted",445761617.248325,490029767.449136,536738628.751239,587234033.814578,639725700.746598,694248444.576236,750919308.708104,809816906.92089,4954474408.2151
"156","Myanmar","LMIC","East and South East Asia","MMR","East and South East Asia","LMIC","Baseline",414483519.812023,425402126.717755,436405092.122025,448259997.729308,459920458.242104,471444857.144663,482949530.868225,494521599.708906,3633387182.34501
"157","Namibia","UMIC","Sub-Saharan Africa","NAM","Sub-Saharan Africa","UMIC","Adjusted",39549998.6538023,40610794.4037007,41713267.9285517,43017175.5215138,44343703.7494394,45704289.6803312,47102748.5344842,48549419.4306522,350591397.902475
"158","Namibia","UMIC","Sub-Saharan Africa","NAM","Sub-Saharan Africa","UMIC","Baseline",39540309.1658668,40600931.503481,41703229.3431256,43006959.0935319,44333308.4621982,45693714.1698933,47091991.0785211,48538477.9518183,350508920.768436
"159","Nepal","LIC","South Asia","NPL","South Asia","LIC","Adjusted",89069508.3551767,95530276.3838723,102324198.715848,108822811.686292,115526062.273373,122424498.008215,129501074.587226,136761671.835526,899960101.84553
